ID,地區,年月,複數原告,複數被告,賠償金額,總賠償金額,PDF
"KSEV,111,雄小,3102,20230202,1",高雄,2023年02月,否,否,[17121],17121,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3102%2c20230202%2c1.pdf
"KSEV,111,雄小,3103,20230131,1",高雄,2023年01月,否,否,[12167],12167,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3103%2c20230131%2c1.pdf
"KSEV,111,雄小,3104,20230119,1",高雄,2023年01月,否,否,[29274],29274,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3104%2c20230119%2c1.pdf
"KSEV,111,雄小,3106,20230222,1",高雄,2023年02月,否,否,[28140],28140,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3106%2c20230222%2c1.pdf
"KSEV,111,雄小,3107,20230220,1",高雄,2023年02月,否,否,[11569],11569,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3107%2c20230220%2c1.pdf
"KSEV,111,雄小,3108,20230111,1",高雄,2023年01月,否,否,[56417],56417,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3108%2c20230111%2c1.pdf
"KSEV,111,雄小,3115,20230215,1",高雄,2023年02月,否,否,[29023],29023,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3115%2c20230215%2c1.pdf
"KSEV,111,雄小,3141,20230220,1",高雄,2023年02月,否,否,[88702],88702,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3141%2c20230220%2c1.pdf
"KSEV,111,雄小,3166,20230224,1",高雄,2023年02月,否,否,[],0,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3166%2c20230224%2c1.pdf
"KSEV,111,雄小,3169,20230131,1",高雄,2023年01月,否,否,[13403],13403,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3169%2c20230131%2c1.pdf
"KSEV,111,雄小,3176,20221228,1",高雄,2022年12月,否,否,[24595],24595,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3176%2c20221228%2c1.pdf
"KSEV,111,雄小,3183,20230131,1",高雄,2023年01月,否,否,[4002],4002,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3183%2c20230131%2c1.pdf
"KSEV,111,雄小,3196,20230224,1",高雄,2023年02月,否,否,[36985],36985,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3196%2c20230224%2c1.pdf
"KSEV,111,雄小,3204,20230117,1",高雄,2023年01月,否,否,[73933],73933,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3204%2c20230117%2c1.pdf
"KSEV,111,雄小,3219,20230221,1",高雄,2023年02月,否,否,[80847],80847,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3219%2c20230221%2c1.pdf
"KSEV,111,雄小,3220,20230301,1",高雄,2023年03月,否,否,[33372],33372,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3220%2c20230301%2c1.pdf
"KSEV,111,雄小,3221,20230220,1",高雄,2023年02月,否,否,[7323],7323,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3221%2c20230220%2c1.pdf
"KSEV,111,雄小,3222,20230131,1",高雄,2023年01月,否,否,[11573],11573,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3222%2c20230131%2c1.pdf
