date,2317,2330,2454,portfolio_value
2014-09-19,101.0,125.0,497.0,723.0
2014-09-18,102.0,125.0,500.0,727.0
2014-09-17,101.0,124.5,497.5,723.0
2014-09-16,99.5,122.5,497.0,719.0
2014-09-15,101.0,123.5,501.0,725.5
2014-09-12,99.4,123.0,506.0,728.4
2014-09-11,100.0,125.0,510.0,735.0
2014-09-10,101.0,125.0,513.0,739.0
2014-09-09,102.0,127.0,520.0,749.0
2014-09-05,100.5,127.0,513.0,740.5
2014-09-04,99.9,127.5,515.0,742.4
2014-09-03,101.0,128.0,514.0,743.0
2014-09-02,100.5,126.0,515.0,741.5
2014-09-01,101.5,128.5,515.0,745.0
2014-08-29,102.0,124.0,499.5,725.5
2014-08-28,102.0,125.0,496.5,723.5
2014-08-27,112.0,125.5,501.0,738.5
2014-08-26,110.0,124.5,495.0,729.5
2014-08-25,110.5,125.0,501.0,736.5
2014-08-22,110.0,125.5,509.0,744.5
2014-08-21,108.5,124.5,513.0,746.0
2014-08-20,108.5,125.5,512.0,746.0
2014-08-19,108.5,124.0,510.0,742.5
2014-08-18,107.5,123.0,500.0,730.5
2014-08-15,107.5,124.0,500.0,731.5
2014-08-14,109.0,124.0,500.0,733.0
2014-08-13,106.0,122.5,498.5,727.0
2014-08-12,104.5,121.5,489.5,715.5
2014-08-11,104.0,120.5,495.0,719.5
2014-08-08,102.5,120.5,490.5,713.5
2014-08-07,103.5,121.5,492.0,717.0
2014-08-06,103.5,120.5,503.0,727.0
2014-08-05,102.0,119.5,487.0,708.5
2014-08-04,105.5,123.5,492.0,721.0
2014-08-01,102.0,120.0,496.5,718.5
2014-07-31,103.5,121.0,469.0,693.5
2014-07-30,104.5,124.5,502.0,731.0
2014-07-29,105.0,124.0,498.0,727.0
2014-07-28,105.0,121.5,503.0,729.5
2014-07-25,108.0,123.0,507.0,738.0
2014-07-24,110.5,125.0,513.0,748.5
2014-07-22,110.0,124.5,517.0,751.5
2014-07-21,110.5,123.5,507.0,741.0
2014-07-18,107.5,123.5,504.0,735.0
2014-07-17,106.5,124.5,495.0,726.0
2014-07-16,107.5,130.5,497.0,735.0
2014-07-15,111.0,133.0,496.0,740.0
2014-07-14,110.0,132.5,503.0,745.5
2014-07-11,109.0,136.5,501.0,746.5
2014-07-10,108.5,134.5,515.0,758.0
2014-07-09,105.0,134.0,519.0,758.0
2014-07-08,104.5,134.5,522.0,761.0
2014-07-07,103.5,136.0,531.0,770.5
2014-07-04,103.0,135.0,526.0,764.0
2014-07-03,104.0,134.5,535.0,773.5
2014-07-02,103.0,132.5,518.0,753.5
2014-07-01,102.0,128.0,508.0,738.0
2014-06-30,100.0,126.5,505.0,731.5
2014-06-27,98.6,125.5,501.0,725.1
2014-06-26,98.5,124.5,515.0,738.0
2014-06-25,96.5,123.5,505.0,725.0
2014-06-24,98.2,123.0,505.0,726.2
2014-06-23,97.6,123.0,511.0,731.6
2014-06-20,94.3,124.5,509.0,727.8
2014-06-19,93.9,126.0,518.0,737.9
2014-06-18,94.1,125.5,513.0,732.6
2014-06-17,94.0,125.0,510.0,729.0
2014-06-16,92.7,124.0,496.5,713.2
2014-06-13,93.2,123.0,500.0,716.2
2014-06-12,93.4,123.5,500.0,716.9
2014-06-11,93.8,125.0,506.0,724.8
2014-06-10,94.1,124.5,510.0,728.6
2014-06-09,93.5,123.0,509.0,725.5
2014-06-06,93.2,122.5,500.0,715.7
2014-06-05,92.9,123.0,507.0,722.9
2014-06-04,93.1,123.5,490.5,707.1
2014-06-03,93.0,122.5,492.0,707.5
2014-05-30,92.4,119.5,487.0,698.9
2014-05-29,93.5,122.0,498.0,713.5
2014-05-28,93.4,124.0,508.0,725.4
2014-05-27,92.8,123.5,509.0,725.3
2014-05-26,92.5,123.0,494.5,710.0
2014-05-23,93.0,122.0,498.5,713.5
2014-05-22,92.0,122.0,505.0,719.0
2014-05-21,90.0,120.5,488.5,699.0
2014-05-20,90.6,121.0,492.0,703.6
2014-05-19,89.8,121.0,492.0,702.8
2014-05-16,88.8,122.0,502.0,712.8
2014-05-15,88.6,122.0,500.0,710.6
2014-05-14,88.2,122.0,504.0,714.2
2014-05-13,87.9,120.5,491.5,699.9
2014-05-12,87.7,118.5,493.5,699.7
