Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2023-03-02,519.0,520.0,515.0,519.0,503.9850769042969,16558784,527.65,48.9655,527.65,11.9793,551.6086,503.6914
2023-03-03,524.0,525.0,516.0,516.0,501.0718688964844,23253895,526.95,45.0,526.95,12.2409,551.4318,502.4682
2023-03-06,520.0,524.0,517.0,521.0,505.9272766113281,21922085,526.0,42.963,526.0,11.9075,549.815,502.185
2023-03-07,521.0,526.0,519.0,524.0,508.8404541015625,24861078,525.1,43.3824,525.1,11.2993,547.6986,502.5014
2023-03-08,521.0,523.0,518.0,521.0,505.9272766113281,24512408,524.85,47.9675,524.85,11.3336,547.5172,502.1828
2023-03-09,525.0,526.0,522.0,522.0,506.8982849121094,21557577,524.8,49.5868,524.8,11.3444,547.4888,502.1112
2023-03-10,515.0,516.0,511.0,513.0,498.15869140625,24045605,523.45,38.0531,523.45,11.0429,545.5358,501.3642
2023-03-13,513.0,518.0,509.0,516.0,501.0718688964844,21466947,522.25,39.6552,522.25,10.4372,543.1244,501.3756
2023-03-14,511.0,514.0,510.0,510.0,495.2455139160156,20474770,520.5,35.0427,520.5,9.2935,539.087,501.913
2023-03-15,515.0,516.0,510.0,511.0,496.2165222167969,23208597,519.0,36.8421,519.0,8.1628,535.3256,502.6744
2023-03-16,505.0,510.0,504.0,505.0,493.0433044433594,21965994,517.0,32.7586,517.0,6.0957,529.1914,504.8086
2023-03-17,516.0,518.0,513.0,518.0,505.7355651855469,33118483,516.65,46.789,516.65,5.8063,528.2626,505.0374
2023-03-20,517.0,518.0,510.0,512.0,499.8775634765625,11837312,515.85,42.8571,515.85,5.2342,526.3184,505.3816
2023-03-21,515.0,517.0,512.0,517.0,504.75921630859375,18284799,515.8,49.5327,515.8,5.2174,526.2348,505.3652
2023-03-22,524.0,533.0,524.0,533.0,520.3803100585938,42385987,516.6,56.5574,516.6,6.484,529.568,503.632
2023-03-23,528.0,539.0,528.0,538.0,525.2620239257812,26728246,517.7,58.7302,517.7,8.0531,533.8062,501.5938
2023-03-24,536.0,539.0,535.0,539.0,526.23828125,21926240,519.3,63.5593,519.3,8.9449,537.1898,501.4102
2023-03-27,533.0,536.0,531.0,531.0,518.427734375,16111177,519.95,55.6522,519.95,9.3103,538.5706,501.3294
2023-03-28,525.0,530.0,524.0,525.0,512.56982421875,17234120,520.65,56.1404,520.65,9.1265,538.903,502.397
2023-03-29,533.0,533.0,525.0,530.0,517.4513549804688,17280749,521.05,53.7037,521.05,9.361,539.772,502.328
2023-03-30,536.0,537.0,531.0,535.0,522.3330078125,19201564,521.85,57.2727,521.85,9.8477,541.5454,502.1546
2023-03-31,538.0,538.0,532.0,533.0,520.3803100585938,23558838,522.7,57.7982,522.7,10.0478,542.7956,502.6044
2023-04-06,530.0,531.0,526.0,530.0,517.4513549804688,25423363,523.15,54.2056,523.15,10.1684,543.4868,502.8132
2023-04-07,535.0,535.0,529.0,531.0,518.427734375,8557482,523.5,53.3333,523.5,10.3186,544.1372,502.8628
2023-04-10,533.0,533.0,528.0,529.0,516.4750366210938,7435151,523.9,53.8462,523.9,10.3715,544.643,503.157
2023-04-11,522.0,527.0,522.0,524.0,511.5934753417969,22675697,524.0,50.9259,524.0,10.3619,544.7238,503.2762
2023-04-12,523.0,524.0,517.0,520.0,507.6881103515625,23816473,524.35,53.3981,524.35,10.0853,544.5206,504.1794
2023-04-13,515.0,517.0,510.0,510.0,497.9249572753906,25536889,524.05,47.2727,524.05,10.4301,544.9102,503.1898
2023-04-14,516.0,520.0,513.0,516.0,503.7828674316406,18072504,524.35,52.7273,524.35,10.0853,544.5206,504.1794
2023-04-17,519.0,520.0,514.0,520.0,507.6881103515625,14634287,524.8,53.9823,524.8,9.6497,544.0994,505.5006
2023-04-18,518.0,520.0,514.0,515.0,502.8065490722656,15168888,525.3,54.4643,525.3,8.7905,542.881,507.719
2023-04-19,517.0,518.0,509.0,510.0,497.9249572753906,21123233,524.9,46.1538,524.9,9.307,543.514,506.286
2023-04-20,512.0,516.0,510.0,513.0,500.8539123535156,17221961,524.95,50.495,524.95,9.2365,543.423,506.477
2023-04-21,520.0,520.0,510.0,511.0,498.9012145996094,25016683,524.65,46.9388,524.65,9.5987,543.8474,505.4526
2023-04-24,505.0,510.0,504.0,507.0,494.9959411621094,16886512,523.35,34.8837,523.35,10.1529,543.6558,503.0442
2023-04-25,504.0,505.0,498.0,498.0,486.20904541015625,36898412,521.35,27.7778,521.35,11.018,543.386,499.314
2023-04-26,498.0,498.5,491.0,491.5,479.8629150390625,31269245,518.975,25.1309,518.975,12.0814,543.1378,494.8122
