站名,可借,可還,更新時間
YouBike2.0_重慶涼州街口,7,6,2022-02-18 08:44:11
YouBike2.0_圓環站,3,10,2022-02-18 09:07:12
YouBike2.0_重慶民族路口,7,6,2022-02-18 09:16:09
YouBike2.0_承德路三段8巷口,5,5,2022-02-18 09:07:12
YouBike2.0_太原廣場,6,25,2022-02-18 09:12:12
YouBike2.0_國順公園,14,6,2022-02-18 07:57:12
YouBike2.0_聯合醫院中興院區,7,6,2022-02-18 09:02:12
YouBike2.0_蔣渭水紀念公園,11,3,2022-02-18 09:16:09
YouBike2.0_迪化休閒運動公園,10,2,2022-02-18 07:26:11
YouBike2.0_重慶保安街口(家樂福重慶店),9,11,2022-02-18 09:19:12
YouBike2.0_歸綏戲曲公園,6,13,2022-02-18 08:51:12
YouBike2.0_民權國中(民權西路),2,15,2022-02-18 08:59:12
YouBike2.0_承德民權路口,5,12,2022-02-18 08:41:11
YouBike2.0_承德民生西路口,4,7,2022-02-18 08:56:11
YouBike2.0_太原五原路口,2,10,2022-02-18 08:46:12
YouBike2.0_臺北轉運站(華陰街),15,5,2022-02-18 09:08:11
YouBike2.0_劍潭抽水站,4,9,2022-02-18 09:00:41
YouBike2.0_通河東街大南路口,6,9,2022-02-18 09:09:11
YouBike2.0_福港街停車場,15,7,2022-02-18 09:14:11
YouBike2.0_百齡國小,16,5,2022-02-18 09:19:12
YouBike2.0_雨聲街165巷口,6,9,2022-02-18 09:10:40
YouBike2.0_天和公園,10,1,2022-02-18 08:49:12
YouBike2.0_中山天母路口,0,11,2022-02-18 08:37:03
YouBike2.0_天母運動公園,4,11,2022-02-18 09:10:40
YouBike2.0_臺北市立大學(天母校區),5,11,2022-02-18 09:16:03
YouBike2.0_忠誠路二段53巷,6,12,2022-02-18 09:18:13
YouBike2.0_天母國中,8,10,2022-02-17 21:15:36
YouBike2.0_天母棒球場,12,14,2022-02-18 08:55:30
YouBike2.0_天母北天玉街口,5,10,2022-02-18 08:48:12
YouBike2.0_蘭興公園,6,10,2022-02-18 09:19:12
YouBike2.0_明勝公園,3,9,2022-02-18 09:05:30
YouBike2.0_劍潭海外青年活動中心,12,11,2022-02-18 09:09:11
YouBike2.0_忠誠路一段173巷口,4,6,2022-02-18 09:07:12
YouBike2.0_雨農國小,12,9,2022-02-18 09:18:13
YouBike2.0_忠誠公園,5,8,2022-02-18 08:38:12
YouBike2.0_芝山抽水站,9,2,2022-02-18 09:14:11
